fips,year,wuiClass,variable,value
6039,1985,5,num houses,3041
6039,1985,6,num houses,17516
6039,1985,7,num houses,14484
6039,1985,total,num houses,36932
6039,1995,1,num houses,12
6039,1995,2,num houses,126
6039,1995,3,num houses,223
6039,1995,4,num houses,1242
6039,1995,5,num houses,2857
6039,1995,6,num houses,15985
6039,1995,7,num houses,24385
6039,1995,total,num houses,44830
6039,2005,1,num houses,12
6039,2005,2,num houses,126
6039,2005,3,num houses,230
6039,2005,4,num houses,918
6039,2005,5,num houses,2931
6039,2005,6,num houses,18540
6039,2005,7,num houses,28281
6039,2005,total,num houses,51038
6039,2015,1,num houses,12
6039,2015,2,num houses,126
6039,2015,3,num houses,231
6039,2015,4,num houses,741
6039,2015,5,num houses,3276
6039,2015,6,num houses,16742
6039,2015,7,num houses,34602
6039,2015,total,num houses,55730
6039,2019,1,num houses,12
6039,2019,2,num houses,126
6039,2019,3,num houses,231
6039,2019,4,num houses,741
